id,name,score1,score2
678,Student_678,73,72
679,Student_679,53,80
680,Student_680,78,68
681,Student_681,62,68
682,Student_682,91,86
683,Student_683,60,87
684,Student_684,88,92
685,Student_685,85,79
686,Student_686,94,83
687,Student_687,76,75
688,Student_688,72,65
689,Student_689,94,82
690,Student_690,79,56
691,Student_691,85,78
692,Student_692,73,75
693,Student_693,95,56
694,Student_694,65,55
695,Student_695,75,66
696,Student_696,97,72
697,Student_697,52,79
698,Student_698,88,96
699,Student_699,65,61
700,Student_700,51,100
701,Student_701,95,91
702,Student_702,81,57
703,Student_703,55,86
704,Student_704,64,60
705,Student_705,97,68
706,Student_706,99,80
707,Student_707,57,86
708,Student_708,92,53
709,Student_709,84,97
710,Student_710,56,94
711,Student_711,88,72
712,Student_712,54,89
713,Student_713,58,98
714,Student_714,76,64
715,Student_715,56,90
716,Student_716,84,83
717,Student_717,65,65
718,Student_718,72,62
719,Student_719,50,94
720,Student_720,71,96
721,Student_721,89,82
722,Student_722,51,69
723,Student_723,94,89
724,Student_724,97,86
725,Student_725,82,57
726,Student_726,93,86
727,Student_727,65,61
728,Student_728,100,62
729,Student_729,64,82
730,Student_730,52,88
731,Student_731,98,94
732,Student_732,93,66
733,Student_733,58,95
734,Student_734,95,58
735,Student_735,60,83
736,Student_736,69,79
737,Student_737,71,61
738,Student_738,98,50
739,Student_739,73,73
740,Student_740,84,73
741,Student_741,86,84
742,Student_742,100,60
743,Student_743,88,52
744,Student_744,52,56
745,Student_745,78,92
746,Student_746,61,85
747,Student_747,70,94
748,Student_748,91,78
749,Student_749,79,79
750,Student_750,53,64
751,Student_751,89,57
752,Student_752,67,51
753,Student_753,73,70
754,Student_754,82,97
755,Student_755,60,83
756,Student_756,68,93
757,Student_757,81,50
758,Student_758,59,62
759,Student_759,81,53
760,Student_760,61,66
761,Student_761,74,96
762,Student_762,94,96
763,Student_763,78,56
764,Student_764,69,81
765,Student_765,94,68
766,Student_766,100,91
767,Student_767,91,78
768,Student_768,97,71
769,Student_769,70,70
770,Student_770,64,87
771,Student_771,64,71
772,Student_772,83,87
773,Student_773,95,62
774,Student_774,82,95
775,Student_775,95,56
776,Student_776,79,66
777,Student_777,60,65
778,Student_778,86,74
779,Student_779,54,70
780,Student_780,62,78
781,Student_781,57,89
782,Student_782,94,74
783,Student_783,82,59
784,Student_784,67,96
785,Student_785,80,100
786,Student_786,69,73
787,Student_787,69,93
788,Student_788,58,55
789,Student_789,68,60
790,Student_790,75,55
791,Student_791,78,72
792,Student_792,79,70
793,Student_793,53,56
794,Student_794,77,51
795,Student_795,66,82
796,Student_796,96,89
797,Student_797,50,90
798,Student_798,75,71
799,Student_799,86,92
800,Student_800,83,66
801,Student_801,93,50
802,Student_802,84,100
803,Student_803,80,61
804,Student_804,72,59
805,Student_805,72,100
806,Student_806,83,64
807,Student_807,90,66
808,Student_808,95,52
809,Student_809,77,87
810,Student_810,83,53
811,Student_811,65,91
812,Student_812,92,76
813,Student_813,99,60
814,Student_814,95,91
815,Student_815,56,56
816,Student_816,78,75
817,Student_817,80,73
818,Student_818,54,84
819,Student_819,58,73
820,Student_820,72,64
821,Student_821,88,78
822,Student_822,60,63
823,Student_823,66,75
824,Student_824,72,75
825,Student_825,89,55
826,Student_826,75,53
827,Student_827,67,88
828,Student_828,52,95
829,Student_829,88,50
830,Student_830,57,98
831,Student_831,72,54
832,Student_832,78,87
833,Student_833,70,80
834,Student_834,54,71
835,Student_835,67,52
836,Student_836,60,82
837,Student_837,59,87
838,Student_838,100,75
839,Student_839,78,94
840,Student_840,89,52
841,Student_841,55,54
842,Student_842,95,88
843,Student_843,77,50
844,Student_844,83,70
845,Student_845,72,84
846,Student_846,55,88
847,Student_847,58,70
848,Student_848,50,91
849,Student_849,65,53
850,Student_850,76,82
851,Student_851,77,80
852,Student_852,98,90
853,Student_853,58,73
854,Student_854,72,59
855,Student_855,79,84
856,Student_856,92,88
857,Student_857,83,63
858,Student_858,91,66
859,Student_859,95,58
860,Student_860,96,76
861,Student_861,99,52
862,Student_862,77,55
863,Student_863,79,64
864,Student_864,70,54
865,Student_865,69,51
866,Student_866,81,77
867,Student_867,93,76
868,Student_868,53,56
869,Student_869,95,64
870,Student_870,50,59
871,Student_871,55,76
872,Student_872,53,88
873,Student_873,81,89
874,Student_874,92,93
875,Student_875,81,89
876,Student_876,84,80
877,Student_877,63,87
878,Student_878,94,88
879,Student_879,52,74
880,Student_880,63,50
881,Student_881,50,67
882,Student_882,89,71
883,Student_883,85,50
884,Student_884,83,58
885,Student_885,53,81
886,Student_886,66,56
887,Student_887,54,64
888,Student_888,63,90
889,Student_889,56,88
890,Student_890,85,55
891,Student_891,65,95
892,Student_892,73,90
893,Student_893,90,69
894,Student_894,100,55
895,Student_895,61,57
896,Student_896,64,72
897,Student_897,97,64
898,Student_898,84,96
899,Student_899,92,71
900,Student_900,65,96
901,Student_901,91,61
902,Student_902,67,86
903,Student_903,97,94
904,Student_904,82,58
905,Student_905,95,90
906,Student_906,91,88
907,Student_907,64,90
908,Student_908,52,79
909,Student_909,86,74
910,Student_910,68,50
911,Student_911,65,68
912,Student_912,86,56
913,Student_913,95,100
914,Student_914,55,77
915,Student_915,90,96
916,Student_916,67,54
917,Student_917,70,80
918,Student_918,52,72
919,Student_919,51,61
920,Student_920,73,55
921,Student_921,79,91
922,Student_922,80,58
923,Student_923,76,98
924,Student_924,90,54
925,Student_925,93,92
926,Student_926,50,88
927,Student_927,55,85
928,Student_928,84,70
929,Student_929,82,55
930,Student_930,71,72
931,Student_931,77,90
932,Student_932,72,68
933,Student_933,63,91
934,Student_934,71,57
935,Student_935,51,97
936,Student_936,64,74
937,Student_937,68,95
938,Student_938,68,67
939,Student_939,63,70
940,Student_940,81,73
941,Student_941,99,55
942,Student_942,63,83
943,Student_943,93,80
944,Student_944,64,82
945,Student_945,95,66
946,Student_946,93,84
947,Student_947,83,71
948,Student_948,96,70
949,Student_949,51,76
950,Student_950,63,93
951,Student_951,98,64
952,Student_952,99,65
953,Student_953,80,94
954,Student_954,62,72
955,Student_955,100,76
956,Student_956,72,63
957,Student_957,92,73
958,Student_958,68,57
959,Student_959,68,70
960,Student_960,51,53
961,Student_961,83,61
962,Student_962,61,98
963,Student_963,70,57
964,Student_964,61,72
965,Student_965,70,62
966,Student_966,83,90
967,Student_967,77,56
968,Student_968,94,64
969,Student_969,60,96
970,Student_970,56,93
971,Student_971,60,68
972,Student_972,87,67
973,Student_973,59,96
974,Student_974,60,59
975,Student_975,51,85
976,Student_976,58,95
977,Student_977,83,95
978,Student_978,60,97
979,Student_979,73,61
980,Student_980,97,94
981,Student_981,73,64
982,Student_982,60,89
983,Student_983,77,67
984,Student_984,67,53
985,Student_985,57,50
986,Student_986,83,76
987,Student_987,60,65
988,Student_988,73,58
989,Student_989,57,78
990,Student_990,88,69
991,Student_991,86,81
992,Student_992,56,99
993,Student_993,94,75
994,Student_994,88,61
995,Student_995,94,89
996,Student_996,87,82
997,Student_997,98,54
998,Student_998,76,91
999,Student_999,61,84
1000,Student_1000,86,64
1001,Student_1001,83,74
1002,Student_1002,91,95
1003,Student_1003,53,91
1004,Student_1004,87,94
1005,Student_1005,93,69
1006,Student_1006,93,80
1007,Student_1007,67,65
1008,Student_1008,87,80
1009,Student_1009,73,75
1010,Student_1010,57,100
1011,Student_1011,80,82
1012,Student_1012,81,54
1013,Student_1013,63,86
1014,Student_1014,64,64
1015,Student_1015,84,71
1016,Student_1016,77,66
1017,Student_1017,86,53
1018,Student_1018,64,79
1019,Student_1019,74,56
1020,Student_1020,86,69
1021,Student_1021,95,94
1022,Student_1022,93,84
1023,Student_1023,88,76
1024,Student_1024,72,75
1025,Student_1025,55,62
1026,Student_1026,84,77
1027,Student_1027,92,80
1028,Student_1028,79,90
1029,Student_1029,80,86
1030,Student_1030,88,53
1031,Student_1031,98,67
1032,Student_1032,86,90
1033,Student_1033,53,61
1034,Student_1034,76,94
1035,Student_1035,93,69
1036,Student_1036,87,78
1037,Student_1037,87,55
1038,Student_1038,58,98
1039,Student_1039,67,91
1040,Student_1040,87,77
1041,Student_1041,93,58
1042,Student_1042,67,60
1043,Student_1043,61,87
1044,Student_1044,94,81
1045,Student_1045,67,95
1046,Student_1046,81,68
1047,Student_1047,53,63
1048,Student_1048,54,58
1049,Student_1049,74,87
1050,Student_1050,90,88
1051,Student_1051,52,81
1052,Student_1052,77,50
1053,Student_1053,90,85
1054,Student_1054,72,98
1055,Student_1055,77,55
1056,Student_1056,61,86
1057,Student_1057,90,63
1058,Student_1058,58,90
1059,Student_1059,62,86
1060,Student_1060,68,96
1061,Student_1061,62,71
1062,Student_1062,71,81
1063,Student_1063,90,57
1064,Student_1064,66,78
1065,Student_1065,51,77
1066,Student_1066,64,78
1067,Student_1067,98,52
1068,Student_1068,95,66
1069,Student_1069,83,55
1070,Student_1070,75,86
1071,Student_1071,97,99
1072,Student_1072,95,54
1073,Student_1073,87,64
1074,Student_1074,83,91
1075,Student_1075,80,86
1076,Student_1076,80,79
1077,Student_1077,97,67
1078,Student_1078,65,82
1079,Student_1079,56,53
1080,Student_1080,94,53
1081,Student_1081,63,80
1082,Student_1082,69,74
1083,Student_1083,58,51
1084,Student_1084,69,56
1085,Student_1085,97,72
1086,Student_1086,79,96
1087,Student_1087,99,59
1088,Student_1088,86,84
1089,Student_1089,55,65
1090,Student_1090,83,53
1091,Student_1091,60,83
1092,Student_1092,50,50
1093,Student_1093,52,54
1094,Student_1094,61,66
1095,Student_1095,76,83
1096,Student_1096,98,66
1097,Student_1097,80,72
1098,Student_1098,53,58
1099,Student_1099,58,70
1100,Student_1100,52,92
1101,Student_1101,61,91
1102,Student_1102,63,79
1103,Student_1103,84,78
1104,Student_1104,60,51
1105,Student_1105,59,74
1106,Student_1106,78,53
1107,Student_1107,78,78
1108,Student_1108,88,53
1109,Student_1109,52,87
1110,Student_1110,83,84
1111,Student_1111,56,90
1112,Student_1112,60,65
1113,Student_1113,88,56
1114,Student_1114,67,55
1115,Student_1115,66,64
1116,Student_1116,54,78
1117,Student_1117,75,100
1118,Student_1118,94,90
1119,Student_1119,66,89
1120,Student_1120,53,97
1121,Student_1121,75,51
1122,Student_1122,94,98
1123,Student_1123,85,55
1124,Student_1124,98,78
1125,Student_1125,77,65
1126,Student_1126,97,94
1127,Student_1127,59,82
1128,Student_1128,78,98
1129,Student_1129,80,50
1130,Student_1130,61,75
1131,Student_1131,83,71
1132,Student_1132,78,67
1133,Student_1133,92,51
1134,Student_1134,72,91
1135,Student_1135,86,82
1136,Student_1136,91,77
1137,Student_1137,86,64
1138,Student_1138,82,57
1139,Student_1139,59,59
1140,Student_1140,78,94
1141,Student_1141,51,72
1142,Student_1142,59,91
1143,Student_1143,70,82
1144,Student_1144,58,90
1145,Student_1145,57,91
1146,Student_1146,63,98
1147,Student_1147,79,100
1148,Student_1148,60,81
1149,Student_1149,67,73
1150,Student_1150,65,98
1151,Student_1151,59,62
1152,Student_1152,91,65
1153,Student_1153,91,63
1154,Student_1154,61,93
1155,Student_1155,83,72
1156,Student_1156,82,66
1157,Student_1157,70,59
1158,Student_1158,93,83
1159,Student_1159,55,96
1160,Student_1160,96,88
1161,Student_1161,53,51
1162,Student_1162,98,97
1163,Student_1163,66,100
1164,Student_1164,56,69
1165,Student_1165,69,60
1166,Student_1166,64,55
1167,Student_1167,76,77
1168,Student_1168,87,90
1169,Student_1169,69,82
1170,Student_1170,96,56
1171,Student_1171,67,69
1172,Student_1172,79,67
1173,Student_1173,74,69
1174,Student_1174,81,64
1175,Student_1175,73,73
1176,Student_1176,53,55
1177,Student_1177,65,92
1178,Student_1178,51,59
1179,Student_1179,60,58
1180,Student_1180,90,84
1181,Student_1181,83,62
1182,Student_1182,83,58
1183,Student_1183,51,91
1184,Student_1184,76,76
1185,Student_1185,99,65
1186,Student_1186,94,94
1187,Student_1187,66,60
1188,Student_1188,59,97
1189,Student_1189,81,59
1190,Student_1190,74,82
1191,Student_1191,50,59
1192,Student_1192,80,96
1193,Student_1193,67,90
1194,Student_1194,100,92
1195,Student_1195,73,65
1196,Student_1196,82,84
1197,Student_1197,55,84
1198,Student_1198,90,90
1199,Student_1199,68,58
1200,Student_1200,93,51
1201,Student_1201,92,65
1202,Student_1202,63,56
1203,Student_1203,96,100
1204,Student_1204,80,56
1205,Student_1205,70,98
1206,Student_1206,69,57
1207,Student_1207,78,79
1208,Student_1208,64,99
1209,Student_1209,96,85
1210,Student_1210,94,95
1211,Student_1211,57,57
1212,Student_1212,100,98
1213,Student_1213,85,73
1214,Student_1214,58,62
1215,Student_1215,99,65
1216,Student_1216,61,56
1217,Student_1217,69,96
1218,Student_1218,50,99
1219,Student_1219,50,88
1220,Student_1220,81,74
1221,Student_1221,64,67
1222,Student_1222,65,59
1223,Student_1223,97,91
1224,Student_1224,67,94
1225,Student_1225,83,54
1226,Student_1226,75,99
1227,Student_1227,52,52
1228,Student_1228,62,58
1229,Student_1229,96,84
