N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
21,HD한국조선해양,"350,000","하락6,500",-1.82%,"5,000","247,706","70,773",32.74,"182,933",16.75,11.16,
22,하나금융지주,"85,500","상승1,000",+1.18%,"5,000","243,439","284,724",67.21,"535,522",6.45,9.11,
23,POSCO홀딩스,"298,500",상승500,+0.17%,"5,000","241,585","80,933",29.78,"201,338",29.02,2.00,
24,HMM,"23,050",보합0,0.00%,"5,000","236,272","1,025,039",7.03,"655,158",4.54,15.35,
25,현대로템,"197,400","하락3,600",-1.79%,"5,000","215,447","109,142",31.82,"1,326,751",42.32,21.85,
26,LG화학,"301,000","상승3,000",+1.01%,"5,000","212,483","70,592",31.54,"265,521",-25.20,-2.11,
27,메리츠금융지주,"114,600","상승1,100",+0.97%,500,"206,297","180,014",15.49,"197,959",9.38,23.44,
28,삼성화재,"437,500","상승3,500",+0.81%,500,"201,299","46,011",55.61,"50,728",11.17,13.11,
29,우리금융지주,"25,050",상승150,+0.60%,"5,000","186,019","742,592",46.98,"1,181,727",6.46,9.39,
30,SK스퀘어,"140,300","하락3,200",-2.23%,100,"185,955","132,541",53.55,"288,327",3.78,21.70,
31,HD현대일렉트릭,"507,000","상승3,000",+0.60%,"5,000","182,759","36,047",35.54,"134,344",32.54,39.34,
32,삼성SDI,"218,000","상승4,500",+2.11%,"5,000","175,676","80,586",27.23,"1,157,281",149.21,3.13,
33,삼성중공업,"19,600",하락150,-0.76%,"1,000","172,480","880,000",31.44,"4,162,383",118.07,1.77,
34,KT&G,"140,500","상승3,300",+2.41%,"5,000","171,498","122,062",42.80,"359,163",15.82,12.66,
35,SK이노베이션,"109,000","상승2,500",+2.35%,"5,000","164,628","151,035",13.58,"344,934",-5.39,-9.65,
36,기업은행,"19,340",상승110,+0.57%,"5,000","154,222","797,426",13.87,"645,899",5.77,8.06,
37,고려아연,"767,000","상승4,000",+0.52%,"5,000","153,578","20,023",12.01,"10,379",64.45,2.28,
38,크래프톤,"319,500","상승2,500",+0.79%,100,"151,418","47,392",42.94,"163,996",11.54,21.10,
39,SK,"192,400","상승4,500",+2.39%,200,"139,495","72,503",25.33,"149,760",15.67,-5.64,
40,KT,"54,400",하락400,-0.73%,"5,000","137,100","252,022",49.00,"271,042",21.66,2.85,
41,LIG넥스원,"603,000","하락11,000",-1.79%,"5,000","132,660","22,000",31.67,"125,184",54.07,19.59,
42,카카오뱅크,"26,900",하락350,-1.28%,"5,000","128,310","476,990",16.87,"2,665,863",27.51,6.95,
43,LG전자,"76,900",상승300,+0.39%,"5,000","125,845","163,648",29.04,"254,054",20.10,1.81,
44,LG,"77,600",상승100,+0.13%,"5,000","122,027","157,251",34.79,"125,987",15.36,2.16,
45,SK텔레콤,"56,300",하락200,-0.35%,100,"120,927","214,790",38.79,"476,647",9.58,10.83,
46,현대글로비스,"159,500","상승10,700",+7.19%,500,"119,625","75,000",49.92,"360,983",10.07,13.24,
47,삼성에스디에스,"154,300",하락500,-0.32%,500,"119,394","77,378",18.69,"138,687",15.76,8.42,
48,효성중공업,"1,278,000","하락4,000",-0.31%,"5,000","119,168","9,325",24.40,"45,717",39.31,14.90,
49,포스코퓨처엠,"150,900","상승2,500",+1.68%,500,"116,892","77,463",9.98,"688,479",-54.01,-7.98,
50,삼성전기,"155,600",하락100,-0.06%,"5,000","116,223","74,694",34.59,"453,969",19.17,8.16,
51,하이브,"259,000","하락3,000",-1.15%,500,"107,879","41,652",20.48,"295,798",206.21,0.31,
52,삼양식품,"1,429,000","상승13,000",+0.92%,"5,000","107,647","7,533",20.26,"27,304",35.34,39.37,
53,한화시스템,"56,800","하락1,200",-2.07%,"5,000","107,306","188,919",7.13,"758,396",24.37,19.63,
54,미래에셋증권,"18,720",상승460,+2.52%,"5,000","106,763","570,316",12.99,"1,758,179",13.72,7.94,
55,HD현대,"133,700","상승1,200",+0.91%,"1,000","105,614","78,993",23.91,"176,633",20.11,6.36,
56,두산,"605,000","하락12,000",-1.94%,"5,000","99,969","16,524",15.89,"96,975",-62.44,-14.57,
57,LS ELECTRIC,"326,000","하락3,000",-0.91%,"5,000","97,800","30,000",24.70,"149,416",42.49,13.44,
58,한국항공우주,"95,100",상승500,+0.53%,"5,000","92,699","97,475",34.33,"602,714",56.01,10.42,
59,HD현대마린솔루션,"206,000","상승4,500",+2.23%,500,"92,348","44,829",29.53,"88,214",36.86,44.98,
60,유한양행,"114,500",하락400,-0.35%,"1,000","91,564","79,968",17.22,"225,513",139.46,3.41,
61,DB손해보험,"128,200","상승2,700",+2.15%,500,"90,766","70,800",44.71,"151,818",5.33,18.98,
62,KODEX CD금리액티브(합성),"1,073,920",상승75,+0.01%,0,"88,924","8,280",0.00,"217,333",N/A,N/A,
63,TIGER 미국S&P500,"21,805",하락45,-0.21%,0,"87,918","403,200",0.07,"8,604,016",N/A,N/A,
64,대한항공,"23,800",상승550,+2.37%,"5,000","87,637","368,221",16.57,"1,201,459",7.16,13.17,
65,포스코인터내셔널,"48,200",상승100,+0.21%,"5,000","84,795","175,923",5.78,"287,330",15.76,8.14,
66,한미반도체,"88,400",상승500,+0.57%,100,"84,256","95,312",6.79,"383,634",62.17,27.43,
67,카카오페이,"62,400",상승600,+0.97%,500,"84,235","134,992",34.46,"1,373,746","-2,012.90",-0.73,
68,SK바이오팜,"101,500","하락9,900",-8.89%,500,"79,488","78,313",11.50,"981,600",31.64,58.01,
69,에이피알,"208,500","상승21,200",+11.32%,100,"79,322","38,044",22.94,"2,829,191",59.32,41.34,
70,현대건설,"71,200","상승3,700",+5.48%,"5,000","79,285","111,356",24.73,"2,094,151",-39.29,-2.09,
71,HD현대미포,"198,300",상승400,+0.20%,"5,000","79,205","39,942",21.85,"264,293",51.88,5.25,
72,한국금융지주,"142,000","상승2,700",+1.94%,"5,000","79,131","55,726",37.62,"148,780",7.56,11.54,
73,한진칼,"117,400","상승8,500",+7.81%,"2,500","78,379","66,762",20.89,"181,510",17.21,16.75,
74,코웨이,"107,900",하락400,-0.37%,500,"77,590","71,909",60.38,"66,870",13.76,19.38,
75,아모레퍼시픽,"128,800","상승1,600",+1.26%,500,"75,339","58,493",23.52,"281,341",14.22,11.69,
76,S-Oil,"62,400","상승1,600",+2.63%,"2,500","70,252","112,583",74.32,"248,319",-18.02,-2.18,
77,KODEX 머니마켓액티브,"103,475",상승5,0.00%,0,"68,892","66,578",0.00,"402,510",N/A,N/A,
78,KODEX 200,"43,180",하락25,-0.06%,0,"68,354","158,300",33.12,"4,846,366",N/A,N/A,
79,한화,"91,000","상승1,000",+1.11%,"5,000","68,212","74,959",16.39,"210,551",8.70,7.19,
80,LG씨엔에스,"67,500","하락2,800",-3.98%,500,"65,398","96,886",3.85,"2,164,714",14.68,18.32,
81,LG유플러스,"14,680",하락70,-0.47%,"5,000","64,095","436,611",38.19,"751,162",15.67,4.40,
82,NH투자증권,"19,570",하락70,-0.36%,"5,000","63,424","324,086",15.97,"504,840",10.13,8.73,
83,삼성증권,"70,800",상승700,+1.00%,"5,000","63,224","89,300",29.00,"196,125",7.07,12.89,
84,삼성카드,"50,400",상승200,+0.40%,"5,000","58,393","115,859",6.05,"50,362",8.70,8.00,
85,현대차2우B,"164,500",상승100,+0.06%,"5,000","57,516","34,964",59.61,"47,329",3.59,N/A,
86,맥쿼리인프라,"11,600",상승30,+0.26%,0,"55,555","478,922",9.13,"394,563",N/A,N/A,
87,LS,"170,200",상승900,+0.53%,"5,000","54,804","32,200",15.63,"96,722",19.29,5.09,
88,LG디스플레이,"10,950",상승170,+1.58%,"5,000","54,750","500,000",22.81,"1,658,787",-2.68,-37.21,
89,키움증권,"209,000","상승3,500",+1.70%,"5,000","54,603","26,126",27.39,"72,825",7.17,15.98,
90,한국타이어앤테크놀로지,"44,050",보합0,0.00%,500,"54,567","123,875",35.42,"158,825",5.06,10.79,
91,두산밥캣,"56,300",상승200,+0.36%,500,"53,967","95,856",34.17,"217,839",12.22,8.77,
92,TIGER 미국나스닥100,"142,255",하락950,-0.66%,0,"53,915","37,900",0.02,"320,414",N/A,N/A,
93,한화솔루션,"30,600",상승450,+1.49%,"5,000","52,599","171,893",10.76,"1,434,901",-5.39,-15.99,
94,삼성E&A,"26,550",상승800,+3.11%,"5,000","52,038","196,000",45.61,"1,063,743",6.98,19.65,
95,넷마블,"58,800",상승300,+0.51%,100,"50,541","85,954",27.53,"310,394",49.70,0.49,
96,KODEX 미국S&P500,"20,030",하락35,-0.17%,0,"48,633","242,800",0.17,"8,624,387",N/A,N/A,
97,TIGER CD금리투자KIS(합성),"56,380",상승10,+0.02%,0,"47,991","85,120",0.02,"324,054",N/A,N/A,
98,이수페타시스,"64,900","하락1,400",-2.11%,"1,000","47,643","73,409",23.60,"685,372",45.42,24.92,
99,LG생활건강,"297,000","상승2,500",+0.85%,"5,000","46,386","15,618",27.13,"48,697",29.11,3.44,
100,BNK금융지주,"14,520",상승110,+0.76%,"5,000","46,229","318,384",39.93,"602,462",7.22,6.96,
